dividend declaration,closing registry,accounting year,dividend
16.05.2024,28.06.2024,2024,0.3
31.10.2023,15.12.2023,2023,0.272
02.05.2023,17.06.2023,2023,0.378
06.12.2022,16.12.2022,2022,0.378
08.04.2022,01.06.2022,2022,0.3
07.04.2021,01.06.2021,2021,0.3
07.04.2020,01.06.2020,2020,0.045
16.04.2019,10.06.2019,2019,0.042
27.04.2018,25.06.2018,2018,0.0416
28.06.2017,14.07.2017,2017,0.0377
27.03.2015,09.06.2015,2015,0.0708
