dividend declaration,closing registry,accounting year,dividend
24.11.2021,18.01.2022,2021,28
20.08.2021,04.10.2021,2021,23
30.03.2021,07.06.2021,2021,5.7
21.08.2020,15.10.2020,2020,2.7
19.03.2020,08.06.2020,2020,2.83
28.08.2019,20.10.2019,2019,2.5
05.07.2011,13.07.2011,2011,5
14.04.2010,22.04.2010,2010,5
19.09.2008,14.11.2008,2008,1.5
18.04.2008,24.04.2008,2008,3.75
26.10.2007,25.10.2007,2007,1.25
27.04.2007,27.04.2007,2007,1.94
