dividend declaration,closing registry,accounting year,dividend
06.11.2024,23.12.2024,2024,227.6
02.05.2024,17.06.2024,2024,20.6
27.10.2023,14.12.2023,2023,39.42
26.04.2019,08.06.2019,2019,14.5
27.04.2018,08.06.2018,2018,17.25
24.11.2017,26.12.2017,2017,13
