dividend declaration,closing registry,accounting year,dividend
24.06.2024,01.07.2024,2024,0.189
02.06.2022,04.07.2022,2022,1.52
29.06.2020,10.08.2020,2020,11.83
26.04.2019,19.06.2019,2019,7.41
27.04.2018,18.06.2018,2018,0.0301
15.05.2017,07.07.2017,2017,0.0082123
29.04.2014,24.06.2014,2014,0.1104
29.03.2013,29.04.2013,2013,0.0475
28.03.2012,27.04.2012,2012,0.1
15.03.2011,25.04.2011,2011,0.2474
16.04.2010,08.04.2010,2010,0.1666
28.04.2009,28.04.2009,2009,0.0885
