dividend declaration,closing registry,accounting year,dividend
07.05.2019,19.06.2019,2019,0.0068417
10.05.2018,20.06.2018,2018,0.0054644
05.05.2016,24.06.2016,2016,0.0028527
23.05.2014,14.07.2014,2014,0.00014
