dividend declaration,closing registry,accounting year,dividend
15.05.2024,18.07.2024,2024,12.29
18.05.2023,20.07.2023,2023,0.8
19.05.2022,20.07.2022,2022,4.73
19.05.2021,20.07.2021,2021,6.72
20.05.2020,20.07.2020,2020,0.97
17.05.2019,18.07.2019,2019,7.62
18.05.2018,19.07.2018,2018,1.38
15.05.2017,19.07.2017,2017,0.6
17.05.2016,18.07.2016,2016,6.92
15.05.2015,16.07.2015,2015,8.21
16.05.2014,16.07.2014,2014,2.36
23.04.2013,14.05.2013,2013,1.48
18.05.2012,14.05.2012,2012,2.15
01.04.2011,13.05.2011,2011,1.18
30.04.2010,14.05.2010,2010,1.05
19.05.2009,15.05.2009,2009,1.33
31.03.2008,14.03.2008,2008,0.82
03.04.2007,17.03.2007,2007,0.71
05.04.2006,20.03.2006,2006,1.05
25.03.2005,25.03.2005,2005,0.607
27.02.2004,02.02.2004,2004,0.16
28.03.2003,31.01.2003,2003,0.096
27.02.2002,12.02.2002,2002,0.1
04.04.2001,16.03.2001,2001,0.18
24.05.2000,13.05.2000,2000,0.086
