dividend declaration,closing registry,accounting year,dividend
14.11.2024,25.11.2024,2024,92.5
12.03.2021,26.03.2021,2021,17.51
13.11.2020,27.11.2020,2020,19.29
07.08.2020,21.08.2020,2020,14.72
13.05.2020,29.05.2020,2020,10.35
12.03.2020,27.03.2020,2020,15.73
