dividend declaration,closing registry,accounting year,dividend
10.05.2012,22.05.2012,2012,8.06
11.04.2011,20.04.2011,2011,8.73
28.05.2010,24.05.2010,2010,1.09
28.05.2009,04.06.2009,2009,5.53
