dividend declaration,closing registry,accounting year,dividend
25.10.2024,17.12.2024,2024,907
24.01.2022,10.02.2022,2022,64.11
09.06.2021,16.07.2021,2021,40.33
27.03.2020,10.09.2020,2020,36.13
14.06.2019,19.07.2019,2019,23.45
