dividend declaration,closing registry,accounting year,dividend
29.08.2024,11.10.2024,2024,4
03.05.2024,15.06.2024,2024,2
20.10.2023,03.12.2023,2023,2
06.05.2022,21.06.2022,2022,4.5
18.05.2021,25.06.2021,2021,1.95
26.10.2020,30.11.2020,2020,2.55
25.05.2020,26.06.2020,2020,1.42
12.11.2019,24.12.2019,2019,0.78
20.04.2012,21.04.2012,2012,0.15
