dividend declaration,closing registry,accounting year,dividend
27.05.2024,16.07.2024,2024,4.49
09.06.2023,11.07.2023,2023,1.84
14.05.2021,16.06.2021,2021,0.54
24.05.2018,18.07.2018,2018,1.06
24.05.2017,12.07.2017,2017,0.42
26.05.2014,17.07.2014,2014,0.29
07.03.2013,17.05.2013,2013,0.69
